chain,spiritCode,name_en,brand_en,regionCode,countryCode,city_en,address1_en,latitude,longitude,propertySiteURL_en,rateDataAvailable,approxAnnualAverageRateLocal,approxAnnualAverageRateCurrency,approxAnnualAverageRateBasis,approxAnnualAverageRateSampleCount,currentOfficialLeadRateLocal,currentOfficialLeadRateFmt,currentOfficialLeadRatePlanCode,currentOfficialLeadRatePlanName,rateDataCaveat
Hilton,HILTON-ZHYHRHX,Hampton by Hilton Ningbo Xiangshan People's Square,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"No. 368, Danhe East Road, Danxi Sub-district,, Ningbo, China",29.452473,121.885449,https://www.hilton.com/en/hotels/zhyhrhx-hampton-ningbo-xiangshan-peoples-square/,true,432,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,432,¥432,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBCHHX,Hampton by Hilton Ningbo Yinzhou City Center,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"No.6, Youxian East Road, Ningbo, China",29.832138,121.573844,https://www.hilton.com/en/hotels/ngbchhx-hampton-ningbo-yinzhou-city-center/,true,445,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,445,¥445,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBZDHX,Hampton by Hilton Ningbo Zhenhai Zhaobao Mountain,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"No.28 Miaopu Road, Ningbo, China",29.95194,121.711221,https://www.hilton.com/en/hotels/ngbzdhx-hampton-ningbo-zhenhai-zhaobao-mountain/,true,379,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,379,¥379,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBYAGI,Hilton Garden Inn Ningbo,Hilton Garden Inn,MAINLAND_CN,CN,Ningbo,"No.1099 Yinzhou Avenue, Ningbo, China",29.799,121.546188,https://www.hilton.com/en/hotels/ngbyagi-hilton-garden-inn-ningbo/,true,320,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,320,¥320,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBQAHI,Hilton Ningbo Dongqian Lake,Hilton Hotels & Resorts,MAINLAND_CN,CN,Ningbo,"99 Lianxin Road, Ningbo, China",29.787038,121.650521,https://www.hilton.com/en/hotels/ngbqahi-hilton-ningbo-dongqian-lake/,true,723,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,723,¥723,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBBNHT,Home2 Suites by Hilton Ningbo Hangzhou Bay New Area,Home2 Suites by Hilton,MAINLAND_CN,CN,Ningbo,"No. 88 Haicang Road, Qianwan New Area, Ningbo, China",30.319674,121.228593,https://www.hilton.com/en/hotels/ngbbnht-home2-suites-ningbo-hangzhou-bay-new-area/,true,312,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,312,¥312,SHTH4A,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBYZHT,Home2 Suites by Hilton Ningbo Yinzhou,Home2 Suites by Hilton,MAINLAND_CN,CN,Ningbo,"No. 999 East Section of Yinxian Avenue, Ningbo, China",29.81838,121.557689,https://www.hilton.com/en/hotels/ngbyzht-home2-suites-ningboy-yinzhou/,true,370,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,370,¥370,SHTH4A,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-FOCLIHX,Hampton by Hilton Ningde Lithium Electricity Town,Hampton by Hilton,MAINLAND_CN,CN,Ningde,"Building 18, Wanhecheng Commercial, Ningde, China",26.727836,119.561197,https://www.hilton.com/en/hotels/foclihx-hampton-ningde-lithium-electricity-town/,true,445,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,445,¥445,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-WHANGGI,Hilton Garden Inn Ningguo Chengxi Lake,Hilton Garden Inn,MAINLAND_CN,CN,Ningguo,"No. 9 Guotai East Road, Xuancheng, Anhui Province,, Ningguo, China",30.612367,118.961266,https://www.hilton.com/en/hotels/whanggi-hilton-garden-inn-ningguo-chengxi-lake/,true,325,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,325,¥325,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-BPXLCGI,Hilton Garden Inn Nujiang,Hilton Garden Inn,MAINLAND_CN,CN,Nujiang,"Nujiang Westcoast, Liu Town, Nujiang, China",25.831057,98.865523,https://www.hilton.com/en/hotels/bpxlcgi-hilton-garden-inn-nujiang/,true,263,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,263,¥263,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
