spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
AMAN-aman-summer-palace,Aman Summer Palace,颐和安缦,Aman,安缦,aman,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,"1 Gongmenqian Street, Summer Palace, Beijing, China 100091",,,,,,https://www.aman.com/resorts/aman-summer-palace,,,,,,
AMAN-amanfayun,Amanfayun,法云安缦,Aman,安缦,aman,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,"22 Fayun Lane, West Lake Street, West Lake Scenic Area, Hangzhou, PRC 310013",,,,,(86) 571 8732 9999,https://www.aman.com/resorts/amanfayun,,,,,,
AMAN-amandayan,Amandayan,大研安缦,Aman,安缦,aman,FULLY_BOOKABLE,Hotel,Luxury,Lijiang,丽江,Yunnan,云南,"Amandayan, 29 Shishan Road,Gucheng District, Lijiang, Yunnan, PRC 674199",,,,,+(86) 888 533 9999,https://www.aman.com/resorts/amandayan,,,,,,
AMAN-amanyangyun,Amanyangyun,养云安缦,Aman,安缦,aman,FULLY_BOOKABLE,Hotel,Luxury,Shanghai,上海,Shanghai,上海,"Amanyangyun, Shanghai",,,,,(86) 21 8011 9999,https://www.aman.com/resorts/amanyangyun,,,,,,
SHANGRI-LA-hong-kong-www-shangri-la-com-cn-hongkong-kowloonshangrila,,九龙香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hong Kong,香港,Hong Kong,香港,,,,,,,https://www.shangri-la.com/en/hongkong/kowloonshangrila/,https://www.shangri-la.com/cn/hongkong/kowloonshangrila/,,,,,
SHANGRI-LA-hong-kong-www-shangri-la-com-cn-hongkong-islandshangrila,,港岛香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hong Kong,香港,Hong Kong,香港,,,,,,,https://www.shangri-la.com/en/hongkong/islandshangrila/,https://www.shangri-la.com/cn/hongkong/islandshangrila/,,,,,
SHANGRI-LA-hong-kong-www-hoteljen-com-cn-hongkong-westerndistrict,,香港 JEN 酒店,JEN Hotels,JEN 酒店,jen-hotels,FULLY_BOOKABLE,Hotel,Luxury,Hong Kong,香港,Hong Kong,香港,,,,,,,https://www.hoteljen.com/en/hongkong/westerndistrict,https://www.hoteljen.com/cn/hongkong/westerndistrict,,,,,
SHANGRI-LA-hong-kong-www-shangri-la-com-cn-hongkong-kerry,,香港嘉里酒店,Kerry Hotels,嘉里酒店,kerry-hotels,FULLY_BOOKABLE,Hotel,Luxury,Hong Kong,香港,Hong Kong,香港,,,,,,,https://www.shangri-la.com/en/hongkong/kerry/,https://www.shangri-la.com/cn/hongkong/kerry/,,,,,
SHANGRI-LA-baotou-www-shangri-la-com-cn-baotou-shangrila,,包头香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Baotou,包头,Inner Mongolia,内蒙古,,,,,,,https://www.shangri-la.com/en/baotou/shangrila/,https://www.shangri-la.com/cn/baotou/shangrila/,,,,,
SHANGRI-LA-beihai-www-shangri-la-com-cn-beihai-shangrila,,北海香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Beihai,北海,Guangxi,广西,,,,,,,https://www.shangri-la.com/en/beihai/shangrila/,https://www.shangri-la.com/cn/beihai/shangrila/,,,,,
SHANGRI-LA-beijing-www-hoteljen-com-cn-beijing-centraldistrict,,JEN北京新国贸饭店,JEN Hotels,JEN 酒店,jen-hotels,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.hoteljen.com/en/beijing/centraldistrict,https://www.hoteljen.com/cn/beijing/centraldistrict,,,,,
SHANGRI-LA-beijing-www-shangri-la-com-cn-beijing-chinaworld,,北京中国大饭店,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.shangri-la.com/en/beijing/chinaworld/,https://www.shangri-la.com/cn/beijing/chinaworld/,,,,,
SHANGRI-LA-beijing-www-shangri-la-com-cn-beijing-kerry,,北京嘉里大酒店,Kerry Hotels,嘉里酒店,kerry-hotels,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.shangri-la.com/en/beijing/kerry/,https://www.shangri-la.com/cn/beijing/kerry/,,,,,
SHANGRI-LA-beijing-www-shangri-la-com-cn-beijing-chinaworldsummitwing,,北京国贸大酒店,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.shangri-la.com/en/beijing/chinaworldsummitwing/,https://www.shangri-la.com/cn/beijing/chinaworldsummitwing/,,,,,
SHANGRI-LA-beijing-www-shangri-la-com-cn-beijing-shangrilashougangpark,,北京首钢园香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.shangri-la.com/en/beijing/shangrilashougangpark/,https://www.shangri-la.com/cn/beijing/shangrilashougangpark/,,,,,
SHANGRI-LA-beijing-www-shangri-la-com-cn-beijing-shangrila,,北京香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,,,,,,,https://www.shangri-la.com/en/beijing/shangrila/,https://www.shangri-la.com/cn/beijing/shangrila/,,,,,
SHANGRI-LA-changchun-www-shangri-la-com-cn-changchun-shangrila,,长春香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Changchun,长春,Jilin,吉林,,,,,,,https://www.shangri-la.com/en/changchun/shangrila/,https://www.shangri-la.com/cn/changchun/shangrila/,,,,,
SHANGRI-LA-chengdu-www-shangri-la-com-cn-chengdu-shangrila,,成都香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Chengdu,成都,Sichuan,四川,,,,,,,https://www.shangri-la.com/en/chengdu/shangrila/,https://www.shangri-la.com/cn/chengdu/shangrila/,,,,,
