chain,spiritCode,hotelCode,name_en,brand_en,regionCode,countryCode,city_en,rate_available,rate_source,rate_currency,rate_amount_local,rate_amount_fmt,rate_amount_source_value,rate_plan_code,rate_plan_name,rate_plan_desc,points_rate,propertySiteURL_en
Hilton,HILTON-WUHHNHX,WUHHNHX,Hampton by Hilton Wuhan Huashiyuan North Road,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,403,¥403,59.34,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wuhhnhx-hampton-wuhan-huashiyuan-north-road/
Hilton,HILTON-WUHENHX,WUHENHX,Hampton by Hilton Wuhan International Plaza,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,440,¥440,64.89,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/wuhenhx-hampton-wuhan-international-plaza/
Hilton,HILTON-WUHBSHX,WUHBSHX,Hampton by Hilton Wuhan Jiangxia,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,403,¥403,59.34,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wuhbshx-hampton-wuhan-jiangxia/
Hilton,HILTON-WUHBBHX,WUHBBHX,Hampton by Hilton Wuhan Jingkai,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,425,¥425,62.67,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/wuhbbhx-hampton-wuhan-jingkai/
Hilton,HILTON-WUHTSHX,WUHTSHX,Hampton by Hilton Wuhan OVCEC,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,436,¥436,64.26,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/wuhtshx-hampton-wuhan-ovcec/
Hilton,HILTON-WUHOOHX,WUHOOHX,Hampton by Hilton Wuhan Qiaokou Gutian,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,405,¥405,59.66,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wuhoohx-hampton-wuhan-qiaokou-gutian/
Hilton,HILTON-WUHQNHX,WUHQNHX,Hampton by Hilton Wuhan Qingnian Road,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,543,¥543,79.97,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,20000,https://www.hilton.com/en/hotels/wuhqnhx-hampton-wuhan-qingnian-road/
Hilton,HILTON-WUHNAHX,WUHNAHX,Hampton by Hilton Wuhan Railway Station,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,381,¥381,56.17,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wuhnahx-hampton-wuhan-railway-station/
Hilton,HILTON-WUHLYHX,WUHLYHX,Hampton by Hilton Wuhan Sixin Guobo,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,397,¥397,58.55,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wuhlyhx-hampton-wuhan-sixin/
Hilton,HILTON-WUHHPHX,WUHHPHX,Hampton by Hilton Wuhan Tiandi Hankou Riverside,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,545,¥545,80.29,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,21000,https://www.hilton.com/en/hotels/wuhhphx-hampton-wuhan-tiandi-hankou-riverside/
